Block,Site,Class,Pot,Month,Day,Sex,WingSize
1,6,rural,5,6,28,M,2.48
1,6,rural,5,7,16,F,2.88
1,6,rural,5,7,3,F,3.44
1,6,rural,6,6,23,M,2.92
1,6,rural,6,6,24,M,2.68
1,6,rural,6,6,24,M,2.84
1,6,rural,6,6,24,M,2.84
1,6,rural,6,6,24,M,2.76
1,6,rural,6,6,24,M,2.76
1,6,rural,6,6,24,M,2.64
1,6,rural,6,6,25,M,2.56
1,6,rural,6,6,25,F,2.68
1,6,rural,6,6,26,F,3.24
1,6,rural,6,6,26,M,2.48
1,6,rural,6,6,26,F,2.96
1,6,rural,6,6,27,F,2.88
1,6,rural,6,6,27,F,2.8
1,6,rural,6,6,28,F,3.2
1,6,rural,6,7,1,F,2.84
1,6,rural,6,7,6,M,2.4
1,7,urban,1,6,23,M,2.52
1,7,urban,1,6,23,M,2.6
1,7,urban,1,6,24,F,2.88
1,7,urban,1,6,25,F,3.6
1,7,urban,1,7,3,F,3.36
1,7,urban,1,7,6,F,3
1,7,urban,2,6,23,M,2.6
1,7,urban,2,6,24,M,2.48
1,7,urban,2,6,24,M,2.48
1,7,urban,2,6,24,M,2.6
1,7,urban,2,6,24,M,2.56
1,7,urban,2,6,24,F,3.12
1,7,urban,2,6,24,F,2.52
1,7,urban,2,6,25,M,2.4
1,7,urban,2,6,30,F,2.88
1,7,urban,2,7,1,F,3
1,7,urban,2,7,2,F,2.8
1,7,urban,2,7,3,F,2.88
1,7,urban,2,7,9,F,2.56
1,7,urban,3,6,24,F,3.2
1,7,urban,3,6,25,M,2.6
1,7,urban,3,6,25,F,3.2
1,7,urban,3,6,26,F,3
1,7,urban,3,6,26,M,2.36
1,7,urban,4,7,1,F,2.8
1,7,urban,4,6,23,M,2.64
1,7,urban,4,6,23,M,2.6
1,7,urban,4,6,24,M,2.4
1,7,urban,4,6,24,M,2.44
1,7,urban,4,6,25,F,2.8
1,7,urban,4,6,26,M,2.4
1,7,urban,4,6,27,F,2.8
1,7,urban,4,7,5,F,3
1,7,urban,4,7,8,F,3.28
1,7,urban,5,6,23,M,2.64
1,7,urban,5,6,23,M,2.48
1,7,urban,5,6,24,M,2.44
1,7,urban,5,6,24,M,2.52
1,7,urban,5,6,24,M,2.6
1,7,urban,5,6,24,M,2.4
1,7,urban,5,6,25,M,2.4
1,7,urban,5,6,25,M,2.36
1,7,urban,5,6,27,F,2.76
1,7,urban,5,7,3,F,3
1,7,urban,5,7,3,F,3.04
1,7,urban,6,6,23,M,2.64
1,7,urban,6,6,23,M,2.6
1,7,urban,6,6,23,M,2.56
1,7,urban,6,6,24,F,2.96
1,7,urban,6,6,24,M,2.6
1,7,urban,6,6,24,F,3.04
1,7,urban,6,6,24,M,2.56
1,7,urban,6,6,25,M,2.36
1,7,urban,6,6,25,F,2.68
1,7,urban,6,6,26,F,2.8
1,7,urban,6,6,26,F,2.84
1,7,urban,6,6,26,M,2.16
1,7,urban,6,6,28,F,2.72
