Site_Code,Date,Species,Sex,AlboCode,Notes
S2,6/22/16,Culex spp.,F,NA,scutum too destroyed to identify
S2,6/22/16,Aedes albopictus ,F,S2_16,both wings damaged (still mounted)
S2,6/22/16,Aedes albopictus ,F,S2_17,
S2,6/22/16,Aedes albopictus ,F,S2_18,
S2,6/22/16,Aedes albopictus ,F,S2_19,
S2,6/22/16,Aedes albopictus ,F,S2_20,both wings damaged (still mounted)
S2,6/22/16,Aedes albopictus ,F,S2_21,both wings damaged (still mounted)
S2,6/22/16,Aedes albopictus ,F,S2_22,
S2,6/22/16,Aedes albopictus ,F,S2_23,
S2,7/7/16,Aedes albopictus ,M,NA,
S2,7/7/16,Aedes albopictus ,M,NA,
S2,7/7/16,Aedes albopictus ,F,S2_24,
S2,7/7/16,Aedes albopictus ,F,NA,both wings damaged
S2,7/7/16,Aedes albopictus ,F,S2_25,
S2,7/7/16,Aedes albopictus ,F,S2_26,
S2,7/7/16,Aedes albopictus ,F,S2_27,
S2,7/7/16,Aedes albopictus ,F,S2_28,
S2,7/7/16,Aedes albopictus ,F,NA,both wings damaged
S2,7/7/16,Aedes albopictus ,F,S2_29,
S2,7/7/16,Aedes albopictus ,F,S2_30,
S2,7/7/16,Aedes albopictus ,F,NA,both wings damaged
S2,7/7/16,Aedes albopictus ,M,NA,
S2,7/7/16,Aedes albopictus ,M,NA,
S2,7/7/16,Aedes albopictus ,M,NA,
S2,7/7/16,Aedes albopictus ,F,S2_31,wing tip damaged; still mounted
S2,7/7/16,Aedes albopictus ,F,S2_32,
S2,7/7/16,Aedes albopictus ,F,S2_33,
S2,7/7/16,Aedes albopictus ,M,NA,
S2,7/7/16,Aedes albopictus ,M,NA,
S2,7/7/16,Aedes albopictus ,F,S2_34,
S2,7/7/16,Aedes albopictus ,F,S2_35,
S2,7/7/16,Aedes albopictus ,F,S2_36,
S2,7/7/16,Aedes albopictus ,F,S2_37,
S2,7/7/16,Aedes albopictus ,F,NA,both wings damaged
S2,7/15/16,Aedes albopictus ,M,NA,
S2,7/15/16,Aedes albopictus ,M,NA,
S2,7/15/16,Aedes albopictus ,M,NA,
S2,7/15/16,Aedes albopictus ,M,NA,
S2,7/15/16,Aedes albopictus ,M,NA,
S2,7/15/16,Aedes albopictus ,M,NA,
S2,7/15/16,Aedes albopictus ,M,NA,
S2,7/15/16,Aedes albopictus ,M,NA,
S2,7/15/16,Aedes albopictus ,M,NA,
S2,7/15/16,Aedes albopictus ,M,NA,
S2,7/15/16,Aedes albopictus ,M,NA,
S2,7/15/16,Aedes albopictus ,M,NA,
S2,7/15/16,Aedes albopictus ,M,NA,
